ID,Height(meter),Weight(KG),BMI,bmipred2,pmi pred,,,b,w2,w1,b2,w22,w12
1,1.670896074,51.24119481,18.35356231,18.42579541,18.3689939,,,36.26698938,0.331561677,-20.87958222,38.50519654,0.335622208,-22.30963652
2,1.816486334,61.89589865,18.7584782,18.75368486,18.86182157,,,36.26698938,0.331561677,-20.87958222,38.50519654,0.335622208,-22.30963652
3,1.762727996,69.39647493,22.33401515,22.47037382,22.47117686,,,36.26698938,0.331561677,-20.87958222,38.50519654,0.335622208,-22.30963652
4,1.73270164,64.54796522,21.49982789,21.51298337,21.49053462,,,36.26698938,0.331561677,-20.87958222,38.50519654,0.335622208,-22.30963652
5,1.721810374,65.43758047,22.07275754,22.05453819,22.01290203,,,36.26698938,0.331561677,-20.87958222,38.50519654,0.335622208,-22.30963652
6,1.744925136,55.91665198,18.36485748,18.34342121,18.37350044,,,36.26698938,0.331561677,-20.87958222,38.50519654,0.335622208,-22.30963652
7,1.772971816,64.16671449,20.41296726,20.48661417,20.52330204,,,36.26698938,0.331561677,-20.87958222,38.50519654,0.335622208,-22.30963652
8,1.778373888,61.88456135,19.56753733,19.60015463,19.65383451,,,36.26698938,0.331561677,-20.87958222,38.50519654,0.335622208,-22.30963652
9,1.72472731,50.95993907,17.13120924,17.13044443,17.15176656,,,36.26698938,0.331561677,-20.87958222,38.50519654,0.335622208,-22.30963652
10,1.696271944,54.72160986,19.01813419,19.02777356,18.99312859,,,36.26698938,0.331561677,-20.87958222,38.50519654,0.335622208,-22.30963652
11,1.717632582,51.76293736,17.54520204,17.5582293,17.56614498,,,36.26698938,0.331561677,-20.87958222,38.50519654,0.335622208,-22.30963652
12,1.734882992,56.96344756,18.9258715,18.91878563,18.93025351,,,36.26698938,0.331561677,-20.87958222,38.50519654,0.335622208,-22.30963652
13,1.704760624,55.53544661,19.10924187,19.11153588,19.08572558,,,36.26698938,0.331561677,-20.87958222,38.50519654,0.335622208,-22.30963652
14,1.734303618,52.64434441,17.50255542,17.48212432,17.51030151,,,36.26698938,0.331561677,-20.87958222,38.50519654,0.335622208,-22.30963652
15,1.80572664,63.48774627,19.47089433,19.52798914,19.61427516,,,36.26698938,0.331561677,-20.87958222,38.50519654,0.335622208,-22.30963652
16,1.6881094,58.72825703,20.60847878,20.55459672,20.49200975,,,36.26698938,0.331561677,-20.87958222,38.50519654,0.335622208,-22.30963652
17,1.743691458,64.83724776,21.32481594,21.36489417,21.35698682,,,36.26698938,0.331561677,-20.87958222,38.50519654,0.335622208,-22.30963652
18,1.809250382,62.53768053,19.10488481,19.13051257,19.2256955,,,36.26698938,0.331561677,-20.87958222,38.50519654,0.335622208,-22.30963652
19,1.705131972,56.25336979,19.34784271,19.34420221,19.3160078,,,36.26698938,0.331561677,-20.87958222,38.50519654,0.335622208,-22.30963652
20,1.722978266,64.0696672,21.58205872,21.56938087,21.53496931,,,36.26698938,0.331561677,-20.87958222,38.50519654,0.335622208,-22.30963652
21,1.749521774,65.09387889,21.26676576,21.32095305,21.3203413,,,36.26698938,0.331561677,-20.87958222,38.50519654,0.335622208,-22.30963652
22,1.61242121,44.39773297,17.07669376,17.4335306,17.32089495,,,36.26698938,0.331561677,-20.87958222,38.50519654,0.335622208,-22.30963652
23,1.737915498,58.72843843,19.44424753,19.44350166,19.45213938,,,36.26698938,0.331561677,-20.87958222,38.50519654,0.335622208,-22.30963652
24,1.717752216,64.32788555,21.80109169,21.77263596,21.72970236,,,36.26698938,0.331561677,-20.87958222,38.50519654,0.335622208,-22.30963652
25,1.707099456,58.8289776,20.18708692,20.16473954,20.1289004,,,36.26698938,0.331561677,-20.87958222,38.50519654,0.335622208,-22.30963652
26,1.79939569,64.58791786,19.94793445,20.03847235,20.11123748,,,36.26698938,0.331561677,-20.87958222,38.50519654,0.335622208,-22.30963652
27,1.714356236,59.6569633,20.29826882,20.2807338,20.25191019,,,36.26698938,0.331561677,-20.87958222,38.50519654,0.335622208,-22.30963652
28,1.689963854,49.12787674,17.20177106,17.2911237,17.27017134,,,36.26698938,0.331561677,-20.87958222,38.50519654,0.335622208,-22.30963652
29,1.662200892,51.64920156,18.69375688,18.75671789,18.68582507,,,36.26698938,0.331561677,-20.87958222,38.50519654,0.335622208,-22.30963652
30,1.76589182,46.84644919,15.02271709,14.83150062,14.92839319,,,36.26698938,0.331561677,-20.87958222,38.50519654,0.335622208,-22.30963652
31,1.67165528,54.76079157,19.59639877,19.59011264,19.5201054,,,36.26698938,0.331561677,-20.87958222,38.50519654,0.335622208,-22.30963652
32,1.72253402,57.04412379,19.22539616,19.22136345,19.21484403,,,36.26698938,0.331561677,-20.87958222,38.50519654,0.335622208,-22.30963652
33,1.79311427,61.77581397,19.21332561,19.23480403,19.31000503,,,36.26698938,0.331561677,-20.87958222,38.50519654,0.335622208,-22.30963652
34,1.823842936,63.53490944,19.10018371,19.13965017,19.25165196,,,36.26698938,0.331561677,-20.87958222,38.50519654,0.335622208,-22.30963652
35,1.757835702,58.38650546,18.89539265,18.88432885,18.92284198,,,36.26698938,0.331561677,-20.87958222,38.50519654,0.335622208,-22.30963652
36,1.696813472,64.3048935,22.33447848,22.23205509,22.15927131,,,36.26698938,0.331561677,-20.87958222,38.50519654,0.335622208,-22.30963652
37,1.718536822,54.97769679,18.61524935,18.61700069,18.61315585,,,36.26698938,0.331561677,-20.87958222,38.50519654,0.335622208,-22.30963652
38,1.722298054,59.56517652,20.0805596,20.07274905,20.05565537,,,36.26698938,0.331561677,-20.87958222,38.50519654,0.335622208,-22.30963652
39,1.62675189,48.39281156,18.28682104,18.45465544,18.3462913,,,36.26698938,0.331561677,-20.87958222,38.50519654,0.335622208,-22.30963652
40,1.741795602,56.39617442,18.5889674,18.57417835,18.59783506,,,36.26698938,0.331561677,-20.87958222,38.50519654,0.335622208,-22.30963652
41,1.655662678,56.62260298,20.65599464,20.57176703,20.47132957,,,36.26698938,0.331561677,-20.87958222,38.50519654,0.335622208,-22.30963652
42,1.769316756,63.33972648,20.23321995,20.29060169,20.32542063,,,36.26698938,0.331561677,-20.87958222,38.50519654,0.335622208,-22.30963652
43,1.726369674,62.29601464,20.90223215,20.8984426,20.87608291,,,36.26698938,0.331561677,-20.87958222,38.50519654,0.335622208,-22.30963652
44,1.675914352,48.27417805,17.18744208,17.31804274,17.2804653,,,36.26698938,0.331561677,-20.87958222,38.50519654,0.335622208,-22.30963652
